ISD-AS,IP,Port,Payload
17-ffaa:0:111b,1511502793,12730,{"NonceB":838118054}
17-ffaa:0:1118,3704165023,60258,{"NonceB":901865611}
17-ffaa:0:1117,560525710,53346,{"NonceB":1196921291}
17-ffaa:0:1117,3713190203,7276,{"NonceB":3191642007}
17-ffaa:0:111a,202171065,4988,{"NonceB":3473813635}
17-ffaa:0:111a,367387882,12369,{"NonceB":3916793655}
17-ffaa:0:111b,126435923,6791,{"NonceB":3362222408}
17-ffaa:0:1118,3095626366,29379,{"NonceB":709937949}
17-ffaa:0:1118,2500180346,41217,{"NonceB":291952417}
17-ffaa:0:111a,4032865979,11142,{"NonceB":952090518}
17-ffaa:0:111b,59313247,59586,{"NonceB":2239496130}
17-ffaa:0:111b,643777554,18264,{"NonceB":1162627433}
17-ffaa:0:111b,272461509,63566,{"NonceB":2303057036}
17-ffaa:0:1117,465744645,34524,{"NonceB":3065180629}
17-ffaa:0:1117,1523712440,1624,{"NonceB":2540109021}
17-ffaa:0:1118,2258668123,34195,{"NonceB":2458059842}
17-ffaa:0:1117,2170596833,45912,{"NonceB":1118984829}
17-ffaa:0:1117,469187329,35643,{"NonceB":1961740398}
17-ffaa:0:1117,146788745,11809,{"NonceB":2168131751}
17-ffaa:0:111a,1185959092,52014,{"NonceB":3869189931}
17-ffaa:0:111b,97177550,21886,{"NonceB":773284813}
17-ffaa:0:111b,600004674,12611,{"NonceB":2089107636}
17-ffaa:0:1117,1969475060,12944,{"NonceB":1066771889}
17-ffaa:0:111b,843522624,42623,{"NonceB":2852441334}
17-ffaa:0:1117,4213424926,60668,{"NonceB":561354428}
17-ffaa:0:111a,4143386158,25976,{"NonceB":394067073}
17-ffaa:0:111b,3893834713,41348,{"NonceB":4210133717}
17-ffaa:0:111a,2983180592,25240,{"NonceB":1973525869}
17-ffaa:0:111b,2302892207,17604,{"NonceB":1491267550}
17-ffaa:0:111b,584005191,43282,{"NonceB":2045389873}
17-ffaa:0:1117,2777384387,36718,{"NonceB":2982013762}
